,,
Content part,English Content,Arabic Content
Store name,Store 1,
Region,Region 1,
Contact number,Store Contact Number,
Address,Store Address,
Link (Inserted only) ,,
Opening Hours,10:00 - 01:00,
,,
Store name,Sabah Salem Branch ,
Governorate,Mubarak Al Kabeer Governorate,
Contact number,1 - 82 - 7272,
Address,"1st Street, Block 10 Sabah Salem (near Jamiya 2 & Police Station)",
Google Map Long/Lat (inserted only) ,"29.256052,48.050941",
Opening Hours,11am - 2am,
,,
Store name,Umm Al Hayman Branch ,
Governorate,Ahmadi Governorate,
Contact number,1 - 82 - 7272,
Address,"2nd Fllor, Jamiya Main Coop, Ali Sabah Al Salem area",
Google Map Long/Lat (inserted only) ,"28.962288,48.159678",
Opening Hours,"11am - 2am, daily ",
,,
Store name,Jabriya Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1-D,  Street 4, Jabriya ",
Google Map Long/Lat (inserted only) ,"29.327963,48.021762",
Opening Hours,11am - 2am ,
,,
Store name,Mangaf Branch ,
Governorate,Ahmadi Governorate,
Contact number,1 - 82 - 7272,
Address,"Building # 38, Block 3, Street # 13, Mangaf ",
Google Map Long/Lat (inserted only) ,"26.096522,48.128134",
Opening Hours,11AM - 2AM,
,,
Store name,Fintas Branch ,
Governorate,Ahmadi Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1, Street 7, Fintas",
Google Map Long/Lat (inserted only) ,"29.180772,48.117865",
Opening Hours,11am - 2am,
,,
Store name,Salmiya Bahrain St. Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Area #6, Bahrain Street, Salmiya ",
Google Map Long/Lat (inserted only) ,"29.328787,48.090044",
Opening Hours,11:30AM - 11:30PM,
,,
Store name,Hawally Main Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 9, Street 247, near 4th Ring Road, Hawally ",
Google Map Long/Lat (inserted only) ,"29.327963,48.021762",
Opening Hours,11AM - 11:30PM ,
,,
Store name,Salmiya Amman St Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Abothar Al Ghafari St., - Along 5th Ring Road, Salmiya ",
Google Map Long/Lat (inserted only) ,"29.320259,48.060148",
Opening Hours,11AM - 2AM ,
,,
Store name,Shawafat Branch ,
Governorate,Capital Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1, Ground Floor, Al Shawafat Building, Sharq",
Google Map Long/Lat (inserted only) ,"29.372716,47.988991",
Opening Hours,11:30AM - 11:30PM,
,,
Store name,Salwa Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 8, Street 6, Salwa Jamiya Bldg. ",
Google Map Long/Lat (inserted only) ,"29.298448,48.077854",
Opening Hours,11:30AM - 1:30AM,
,,
Store name,Kheitan Branch ,
Governorate,Farwaniyah Governorate,
Contact number,1 - 82 - 7272,
Address,"Al Nage St. Block 7, Kheitan",
Google Map Long/Lat (inserted only) ,"29.282749,47.969360",
Opening Hours,11AM - 2AM ,
,,
Store name,Salmiya City Bus Branch (Relocated Branch) ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,"Street 12-lane 4, Block 10,  Salmiya",
Google Map Long/Lat (inserted only) ,"29.326192,48.070892",
Opening Hours,12:30PM - 12AM ,
,,
Store name,Sabah Al Nasser Branch ,
Governorate,Farwaniyah Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 1, Street 26, Sabah Al Nasser ",
Google Map Long/Lat (inserted only) ,"29.273770,47.876303",
Opening Hours,11AM - 2AM,
,,
Store name,Yarmouk Branch ,
Governorate,Capital Governorate,
Contact number,1 - 82 - 7272,
Address,"2nd Floor, Yarmouk Main Coop, Block 3, Yarmouk",
Google Map Long/Lat (inserted only) ,"29.309706,47.968952",
Opening Hours,12:30PM - 11:30PM,
,,
Store name,Qurtoba  Branch ,
Governorate,Capital Governorate,
Contact number,1 - 82 - 7272,
Address,"Block 3, Main Jamiya, Qurtoba ",
Google Map Long/Lat (inserted only) ,"29.313091,47.985983",
Opening Hours,12PM - 11:30PM,
,,
Store name,West Mishref Branch ,
Governorate,Hawalli Governorate,
Contact number,1 - 82 - 7272,
Address,BLOCK # 1 ST. 120 BESIDE CO - OP # 1 & Beside Al Waheba Mosque,
