,,,,
Content part,English Content,Arabic Content,,
Store name,Enppi,انبى,,
Region,Nasr City,مدينة نصر,,
Contact number,19277,19277,,
Address,"3 Ibrahim Aboul Naga st., Emtedad Abbas al Akkad, near ENNPI.","3 شارع ابراهيم ابو النجا, امتداد عباس العقاد, بجوار انبى",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Tayaran,الطيران,,
Region,Nasr City,مدينة نصر,,
Contact number,19277,19277,,
Address,"60 El Tayaran St,",60 شارع الطيران مدينة نصر,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,City Stars,سيتى ستارز,,
Region,Nasr City,مدينة نصر,,
Contact number,19277,19277,,
Address,"City Stars Mall, inside food court",سيتى ستار مول داخل الفوود كورت,,
Opening Hours,11 am-12 am,11صباحاُ- 12 صباحاُ,,
,,,,
Store name,El Ma'moun,حسن المأمون,,
Region,Nasr City,مدينة نصر,,
Contact number,19277,19277,,
Address,66 Hassan El Mammon,66 شارع حسن المأمون مدينة نصر,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Roxy,روكسى,,
Region,Heliopolis,مصر الجديدة,,
Contact number,19277,19277,,
Address,"63 El-Makrizy Street.,","63 شارع المقريزي , روكسي",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Almaza,ألماظة,,
Region,Heliopolis,مصر الجديدة,,
Contact number,19277,19277,,
Address,"89 Omar Ibn El Khataab Street, Almaza","89 شارع عمر بن الخطاب, ألماظة, مصر الجديدة",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,El Shams,الشمس,,
Region,Heliopolis,مصر الجديدة,,
Contact number,19277,19277,,
Address,31 Abdel Hamid Badawy St.In Front Of El Shams Club Gate 2,"31 شارع عبد الحميد بدوي, أمام نادي الشمس بوابة 2 مصر الجديدة , القاهرة, مصر",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Sheraton,الشيراتون,,
Region,Heliopolis,مصر الجديدة,,
Contact number,19277,19277,,
Address,"11, Mostafa Refaat St., 1147 sq., behind El-Sadeek mosque-Sheraton",11 ش مصطفى رفعت-مربع 1147-خلف جامع الصديق-منطقه الشيراتون –هليوبوليس,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Ismailia Square,ميدان الإسماعيلية,,
Region,Heliopolis,مصر الجديدة,,
Contact number,19277,19277,,
Address,"19 Ismailia Sq., next to El-Salam Shopping Center.",19 ميدان الإسماعيلية . بجوار السلام شوبينج سنتر,,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,Madinty,مدينتي,,
Region,Madinty,مدينتي,,
Contact number,19277,19277,,
Address,Inside Arabsque Mall,"داخل أرابيسك مول, مدينتي",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
,,,,
Store name,5th Settlement,التجمع الخامس,,
Region,New Cairo,القاهره الجديده,,
Contact number,19277,19277,,
Address,Inside Silver Star Mall,"سيلفر ستار مول , القاهرة الجديدة",,
Opening Hours,11 am-2 am,11صباحاُ- 2 صباحاُ,,
