English Category,Arabic Content,Content element,English Content,Arabic Content
Pizza,Pizza,Name,Original Crust,العجينه الأصليه
,,Description,"Papa John's original dough is made with a proprietary blend of high-protein flour, which gives our crust a hearty texture. We make our dough with bottled mineral water to ensure product consistency in every bite",عجينة طازجة مصنعة من اجود انواع القمح و ممزوجه بمياه معدنية
Pizza,Topping,Name,Stuffed Crust,ستافت كراست
,,Description,Our original crust and edges stuffed with melted cheese which makes the experince enjoyable till the end.,عجينة بابا جونز الأصلية مع أطراف محشوة بالجبن اللذيذ لطعم أغنى حتى النهاية
Pizza,Topping,Name,Thin & Crunchy,الرقيقة و المقرمشة
,,Description,"Papa's Special thin & crunchy dough made in USA specially for
 Papa John's customers",عجينة رقيقة و مقرمشة صنعت باللايات المتحدة الأمريكية خصيصاٌ لعملاء بابا جونز.
Topping,Topping,Name,Fresh Vegetables,الخضراوات الطازجة
,,Description,"Upon careful selection, we offer the freshest vegetable toppings such 
as onions, green peppers, mushrooms, and tomatoes, which we slice fresh in the restaurants",أفضل أنواع الخضروات الطازجة من أجود الأراضى
Topping,Topping,Name,Cheese,حبنة
,,Description,100% Mozzarella Cheese,100% جبنة موتزاريلا
Topping,Topping,Name,Natural Sauce,صلصة طبيعية
,,Description,Our tomates are fresh-packed within an average of 6 hours of harvest to maximize their fresh flavor. Our sauce only contains natural ingredients and savory spices cooked to the ideal thickness.,صلصة طماطم طازجة معبأة بعد الحصاد بست ساعات ممزوجة بالأعشاب الخاصة
Topping,Topping,Name,Pure Meats,لحوم صافيه
,,Description,Papa John''s uses 100% real beef & chicken made with no fillers.,لحوم صافيه 100%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
